Port.Name,Lat1,Lon1,Lat2,Lon2
AARHUS,56.16299167,10.19410667,56.13756167,10.25794833
ABIDJAN,5.285,-4.01,5.27,-4.018
AJACCIO,41.935,8.737,41.915,8.76
AMSTERDAM,52.427,4.763,52.412,4.778
ANCONA,43.632,13.483,43.612,13.512
ANTWERP,51.3035,4.195,51.25583,4.28533
ARBATAX,39.945,9.695,39.935,9.71
AUGUSTA,37.247,15.18,37.17,15.233
BARCELONA,41.388,2.133,41.29,2.192
BASTIA,42.707,9.452,42.693,9.458
BILBAO,43.357,-3.07,43.325,-3.005
BRINDISI,40.663,17.95,40.64,18.003
BRISTOL,51.492,-2.712,51.5,-2.727
CAGLIARI,39.225,9.052,39.195,9.133
CALVI,42.568,8.76,42.563,8.765
CASABLANCA,33.605,-7.597,33.618,-7.592
CIVITAVECCHIA,42.12963333,11.73953333,42.08258667,11.800255
CONAKRY,9.533748333,-13.73559833,9.502808333,-13.68481667
CORK,51.86131167,-8.378425,51.78495667,-8.192878333
COTONOU,6.347,2.427,6.35,2.422
DAKAR,14.683,-17.433,14.67,-17.417
DOUALA,4.084258333,9.582995,3.96437,9.733451667
EMDEN,53.423255,6.872131666,53.249485,7.346741667
FREETOWN,8.528061666,-13.26963667,8.444996667,-13.17710666
GEMLIK,40.42532167,29.11010666,40.41565667,29.12622
GENOVA,44.418,8.878,44.393,8.942
HAMBURG,53.535,9.988,53.528,10.002
HERAKLION,35.37010167,25.117155,35.32848333,25.17526167
IGOUMENITSA,39.50579667,20.242975,39.4833,20.27039
LA SPEZIA,44.117,9.8,44.062,9.895
LA VALLETTA,35.907,14.492,35.875,14.53
LAGOS,6.47985,3.210708333,6.362233333,3.542348333
LE HAVRE,49.538925,0.067063333,49.426945,0.269211667
LEIXOES,41.183,-8.702,41.188,-8.695
L'ILE-ROUSSE,42.643,8.933,42.637,8.942
LISBON,38.71,-9.125,38.728,-9.103
LIVORNO,43.585,10.285,43.538,10.323
LOME,6.143,1.278,6.138,1.29
LUANDA,-8.79187,13.233365,-8.808878333,13.25332333
MALMO,55.642,12.978,55.61,13.038
MESSINA,38.217,15.555,38.185,15.577
MILAZZO,38.22,15.24,38.213,15.25
MONROVIA,6.338,-10.798,6.343,-10.795
MONTEVIDEO,-34.884875,-56.234485,-34.91431,-56.18529
NAPOLI,40.847,14.252,40.823,14.305
NIZZA,43.697,7.282,43.688,7.292
OLBIA,40.933,9.5,40.913,9.58
PALERMO,38.143,13.36,38.118,13.382
PARANAGUA,-25.40575333,-48.61574167,-25.65777667,-48.1675
PATRASSO,38.262,21.713,38.222,21.74
PIOMBINO,42.94691167,10.522215,42.92287167,10.57714667
PIREO,37.95769333,23.60225667,37.92631,23.66744333
POINTE-NOIRE,-4.751668333,11.77908,-4.816141667,11.89211667
PORTO TORRES,40.853,8.347,40.833,8.413
REGGIO CALABRIA,38.13,15.647,38.12,15.653
RIO DE JANEIRO,-22.87,-43.222,-22.897,-43.173
ROSTOCK,54.24369333,11.95076167,54.11509833,12.211505
SALERNO,40.63219333,14.72187833,40.676001,14.75587833
SAN PEDRO,4.737,-6.615,4.742,-6.618
SANTOS,-23.82270333,-46.50323833,-24.16361833,-46.11281333
SOUTHAMPTON,50.93361833,-1.497656667,50.81530167,-1.160253333
ST PETERSBURG,60.260915,29.26051,59.676395,30.99879167
TANGERI,35.795,-5.813,35.778,-5.79
TANGERI MED,35.90437667,-5.51358,35.88652667,-5.477141667
TEMA,5.632,0.017,5.623,0.005
TERMINI IMERESE,37.992,13.702,37.982,13.722
TILBURY,51.48199333,0.315433333,51.43772833,0.394535
TOLONE,43.13296167,5.898415,43.10961833,5.934181666
HELSINKI-TRAVEMUNDE,60.218834,25.199883,60.218372,25.199284
TREMESTIERI,38.135,15.522,38.13,15.527
TRIESTE,45.66167,13.73733167,45.62463,13.79897667
TUNISI,36.82,10.257,36.79,10.313
VADO LIGURE,44.278,8.438,44.255,8.462
VALENCIA,39.463,-0.315,39.443,-0.287
VILLA SAN GIOVANNI,38.227,15.628,38.215,15.635
VITORIA,-20.24693333,-40.37504,-20.430875,-40.16160167
VUOSAARI,60.223,25.183,60.207,25.21
ZARATE,-34.072,-59.033,-34.062,-59.03
VENEZIA,45.42555,12.25611,45.423611,12.259166
SAVONA,44.3095,8.5063,44.3185,8.4905
CATANIA,37.514965,15.05645,37.474965,15.12712833
GOTHENBURG,57.72028333,11.926835,57.70150167,11.998245
LIVERPOOL,53.68015,-3.464986666,53.391115,-2.822408333
NEW YORK,40.701363,-74.1518883,40.656205,-74.14347167
BALTIMORE,39.24174667,-76.54129667,39.23484,-76.52416
PORTSMOUTH,36.85530167,-76.33049167,36.8597,-76.32198
HALIFAX,44.70998667,-63.7108,44.63463333,-63.5307
LA SPEZIA - MUGGIANO,44.11064,9.799942,44.07854,9.899942
BESIKTAS,40.72825667,29.44616833,40.68236,29.51529667
LATAKIA,35.53768666,35.74975,35.51669,35.77574166
TRIPOLI,34.48076167,35.76765167,34.41956,35.88630333
BEIRUT,33.92419667,35.49613833,33.882545,35.56118333
ALEXANDRIA,31.22638667,29.82565666,31.17626833,29.902805
MARSA EL BREGA,30.44602833,19.542215,30.37907333,19.64280167
NAANTALI,60.46666667,22.03333333,60.45,22.05
LUMPARLAND,60.11666667,20.3,60.10833333,20.3133333
KAPELLSKAR,59.73333333,19.06666667,59.71666667,19.08833333
CORFU,39.64610333,19.89081667,39.62299667,19.92445167
BARI,41.12631,16.83339,50.58333333,16.87753667
SAGUNTO,39.62918667,-0.229126667,39.64340333,-0.204205
AUTOPORT GOLCUK,40.727895,29.86912333,40.71810167,29.885065
YENIKOY,40.734513,29.84998167,40.72761333,29.86001667
SANTA CRUZ DE TENERIFE,28.495405,-16.2908,28.4344517,-16.22024333
SETE,43.41982167,3.678605,43.39215167,3.718033333
MALABO,3.808921667,8.745456667,3.70977,8.854588333
GIOIA TAURO,38.50897333,15.81125,38.40612,15.99777333
RAVENNA,44.53866,12.34388883,44.44611,12.19299167
RAVENNA RADA,44.56114,12.29224833,44.444825,12.546155
SETUBAL,38.59682167,-9.042125,38.38892,-8.579235
TUZLA,40.85224833,29.25639333,40.82204833,29.30644167
MISURATA,32.38125167,15.20472667,32.35588833,15.23536666
IZMIT,40.791195,29.87572333,40.727395,29.99632833
VIGO,42.24977167,-8.773156667,42.22021667,-8.706383333
HANKO,59.84475167,22.84714,59.79000833,23.05417167
GDYNIA,54.567055,18.439825,54.50161,18.610235
KHANIA,35.52834,24.04357833,35.47726,24.108275
NEWARK,40.77528333,-74.28137167,40.54563333,-73.95715333
DAVISVILLE,41.625205,-71.425015,41.60987333,-71.39303167
BALTIMORE DUNDALK,39.25725,-76.54951333,39.24587667,-76.53605
NORFOLK,37.17611833,-76.72987833,36.65456,-75.79237833
ESBJERG,55.50357167,8.355855,55.43742167,8.516011667
WALLHAMN,58.020085,11.68213333,57.988855,11.75004833
ASHDOD,31.84727833,34.625695,31.81149833,34.671715
LIMASSOL,34.66646833,33.00076333,34.63955666,33.04385333
IZMIR,38.45566833,27.14153,38.43621333,27.16637167
KIEL,54.32875,10.13209667,54.31664667,10.16554333
BAR,42.10151333,19.06603167,42.08674833,19.09880833
MARSEILLE,43.33112,5.329008333,43.29043833,5.39578
FOS,43.45530167,4.852546666,43.40601333,4.965585
RIJEVA,45.348275,14.41456333,45.31,14.462415
JIJEL,36.83503666,5.75824,36.81398,5.785706667
BREMEN,53.13839333,8.685163333,53.09868667,8.761091667
MANCHESTER,53.59498667,-3.63737,53.20488167,-2.529948333
PORT SUDAN,19.627255,37.20688,19.59689833,37.25046
ZEEBRUGGE,51.362605,3.131125,51.29701,3.280051667
BENGASI,32.12475,20.020395,32.096005,20.07886667
SANTANDER,43.46096833,-3.847695,43.426935,-3.795693333
HELSINGBORG,56.05094667,12.66956167,56.03523,12.70990667
ALGECIRAS,36.15308167,-5.470071667,36.11394167,-5.416726667
MALAGA,36.72384167,-4.437905,36.69835,-4.401833333
LIBREVILLE,0.509323333,9.333156667,0.275441667,9.591458333
TAKORADI,4.92172,-1.786081667,4.8648,-1.703806667
KHOMS,32.69237333,14.20644,32.62063667,14.34901833
BATA,1.845593333,9.711746666,1.794716666,9.771316667
ABERDEEN,57.152855,-2.107093333,57.13292,-2.05497
JEDDAH,21.495045,39.12993333,21.43188167,39.20854667
HULL,53.85067833,-0.60243,53.44443233,-0.378038333
PORT SAID,31.650975,31.88191667,30.817645,32.97566667
BREMERHAVEN,53.59329667,8.497711667,53.46181333,8.674958333
TALLIN,59.44812667,24.75033,59.44272833,24.78389833
RIGA,57.09727833,23.89926167,56.907945,24.24887
DRAMMEN,59.751545,10.1956,59.72853833,10.25736667
ROUEN,49.45127167,1.028766666,49.43547833,1.080401667
TURKU,60.52828167,21.865115,66.33262667,22.43542667
SUAPE,-8.380411667,-34.97535167,-8.410965,-34.93494667
TAMPA,27.95849833,-82.45992167,27.937525,-82.43526333
TOBRUK,32.12525833,23.92531167,32.041275,24.02858333
GIBRALTAR,36.246555,-5.643663333,35.90625167,-5.037971667
ULSAN,35.47173833,129.329165,35.42798333,129.41314
LYME BAY RADA,50.502335,-3.244851667,50.203645,-2.573358333
WILMINGTON,39.76637,-75.56071,39.60930667,-75.44938167
NOUAKCHOTT,18.139565,-16.27813167,17.8269,-15.82211333
PROVIDENCE,41.828285,-71.436595,41.75875333,-71.32819667
PONTA DELGADA,37.74442667,-25.68077167,37.73158667,-25.644455
ISTANBUL,41.028425,28.94222167,40.98328667,29.03987833
LAGOULETTE (TUNIS),36.81413667,10.29257167,36.80206667,10.31778
IMMINGHAM,53.79267667,-0.776278333,53.47884833,-0.395596667
SAN PEDRO CIV,4.764176667,-6.675286667,4.715273333,-6.58642
HELSINKI,60.26358,24.78371333,60.13788333,25.368675
FLUSHING,51.45742333,3.571205,51.43513167,3.61979
STOCKHOLM,59.564145,17.25767333,58.93502833,19.29673667
ALTAMIRA,22.711645,-98.15898333,22.11421,-97.48614833
VERACRUZ,19.221965,-96.17194333,19.18357667,-96.10224
TUXPAN,20.967105,-97.420845,-20.930625,-97.37287
JACKSONVILLE,30.46218333,-81.61818667,30.30254,-81.34963167
FREEPORT,28.96169167,-95.37054167,28.92131167,-95.27068833
GALVESTON,29.379375,-94.997035,29.23563,-94.45562833
HOUSTON,29.721905,-95.18141,29.48348,-94.61734667
